INVCAD_DOCTYPE;INVCAD_SCALE;INVCAD_OBJCLASS
Concessionnaires;*;Réseaux
Grid;*;Decoup
Grid;200;alt1
Grid;200;alt2
Grid;200;alt3
Grid;500;alt1
Grid;500;alt2
Grid;500;alt3
Grid;1000;alt1
Grid;1000;alt2
Grid;1000;alt3
Reseau-Telecom;*;Linéaire
Reseau-Telecom;*;Chambre
Reseau-Telecom;*;Regard
Reseau-Telecom;*;Poteau
Reseau-Telecom;1000;Telephone
Reseau-Telecom;500;Telephone
Reseau-Telecom;200;Telephone
FH-FuniculaireHaut;1000;alt1
FH-FuniculaireHaut;500;alt1
FH-FuniculaireHaut;200;alt1
FH-FuniculaireHaut;1000;alt2
FH-FuniculaireHaut;500;alt2
FH-FuniculaireHaut;200;alt2
FH-FuniculaireHaut;1000;alt3
FH-FuniculaireHaut;500;alt3
FH-FuniculaireHaut;200;alt3
FB-FuniculaireBas;1000;alt1
FB-FuniculaireBas;500;alt1
FB-FuniculaireBas;200;alt1
FB-FuniculaireBas;1000;alt2
FB-FuniculaireBas;500;alt2
FB-FuniculaireBas;200;alt2
FB-FuniculaireBas;1000;alt3
FB-FuniculaireBas;500;alt3
FB-FuniculaireBas;200;alt3
FD-FuniculaireDivers;1000;alt1
FD-FuniculaireDivers;500;alt1
FD-FuniculaireDivers;200;alt1
FD-FuniculaireDivers;1000;alt2
FD-FuniculaireDivers;500;alt2
FD-FuniculaireDivers;200;alt2
FD-FuniculaireDivers;1000;alt3
FD-FuniculaireDivers;500;alt3
FD-FuniculaireDivers;200;alt3
Plan;*;EP-EspacePapier
